,ArticleId,Text,Category,category_id
10,1683,blair rejects iraq advice calls tony blair has rejected calls for the publication of advice on the legality of the iraq war amid growing calls for an investigation the prime minister told his monthly press conference the matter had been dealt with by the attorney general earlier conservative mp michael mates joined calls for probe into claims lord goldsmith statement to parliament was drawn up at number mr blair said the statement was fair summary of lord goldsmith opinion that what he lord goldsmith said and that what say he has dealt with this time and time and time again mr blair told his monthly news conference in downing street he refused to answer further questions on the issue saying it had been dealt with literally scores of times and the position has not changed lord goldsmith has denied being leaned on and says the words written were his the government refuses to publish his advice on the legality of the war saying such papers have always been kept confidential mr mates who is member of the commons intelligence and security committee and was part of the butler inquiry into pre war intelligence told the bbc on friday that as general rule is right but it not an absolute rule he said there had been other occasions when advice had been published most recently regarding prince charles marriage plans the government could not pick and choose when to use the convention he said mr mates added we discovered that there were two or three occasions in the past when law officers advice to the government has been published and this may be one of those special occasions when it would be in the public interest to see the advice which the attorney general gave to the prime minister this is argument was rejected by mr blair who said firstly we haven broken the precedent and secondly peter goldsmith has made his statement and have got absolutely nothing to add to it in book published this week philippe sands qc member of cherie blair matrix chambers says lord goldsmith warned tony blair on march that the iraq war could be illegal without second un resolution sanctioning military action but short statement about lord goldsmith position was presented in written parliamentary answer on march just before crucial commons vote on the military action mr sands book suggests it was actually written by home office minister lord falconer and downing street adviser baroness morgan former minister clare short who resigned from the government over the iraq war said it was the same statement that was earlier shown to the cabinet as it discussed military action she told the bbc the full advice should have been attached according to the ministerial code my view is we need the house of lords to set up special committee summon the attorney get all the papers out look at exactly what happened she said the conservatives and liberal democrats say they want the publication of the full legal advice given by the attorney general on thursday lord goldsmith said his statement had not been written by or at number in my parliamentary answer on march explained my genuinely held independent view that military action was lawful under the existing security council resolutions he said ,politics,2
11,1153,housewives lift channel ratings the debut of us television hit desperate housewives has helped lift channel january audience share by compared to last year other successes such as celebrity big brother and the simpsons have enabled the broadcaster to surpass bbc for the first month since last july however the channel share of the audience fell from to last month in comparison with january celebrity big brother attracted less viewers than its series comedy drama desperate housewives managed to pull in five million viewers at one point during its run to date attracting quarter of the television audience the two main television channels bbc and itv have both seen their monthly audience share decline in year on year comparison for january while five proportion remained the same at slender digital multi channel tv is continuing to be the strongest area of growth with the bbc reporting freeview box ownership of five million including one million sales in the last portion of its share of the audience soared by in january compared with last year and currently stands at an average of ,entertainment,4
12,1028,uk coal plunges into deeper loss shares in uk coal have fallen after the mining group reported losses had deepened to in from the uk biggest coal producer blamed geological problems industrial action and operating flaws at its deep mines for its worsening fortunes the south yorkshire company led by new chief executive gerry spindler said it hoped to return to profit in in early trade on thursday its shares were down at pence uk coal said it was making significant progress in shaking up the business it had introduced new wage structures new daily maintenance regime for machinery at its mines and methods to continue mining in adverse conditions the company said these actions should significantly uplift earnings it expected to be transitional year and to return to profitability in the recent rise in coal prices has failed to benefit the company as most of its output had already been sold it said total production costs were per gigajoule uk coal said but the average selling price was just per gigajoule we have long journey ahead to fix these issues we continue to make progress and great strides have already been made said mr spindler uk coal operates deep and surface mines across nottinghamshire derbyshire leicestershire yorkshire the west midlands northumberland and durham ,business,0
13,812,bp surges ahead on high oil price oil giant bp has announced rise in annual profits to bn bn on the back of record oil prices last week rival shell reported an annual profit of bn record profit for uk listed company bp added that it was increasing its fourth quarter dividend by to cents and that it would continue with share buybacks bp chief executive lord browne said the results were strong both operationally and financially the company is earning about an hour despite the record annual profits figure bp performance was below the expectations of some city analysts however bp share price rose or nearly in morning trading to its profit rise for the year included profits of bn bn for the final three months of up from bn year ago but below its third quarter speaking on the bbc today programme on tuesday lord browne said the profits were not solely down to the high oil price alone the profits are up more than the price of oil is up he said lord browne pointed out that bp was reaping the benefits of its investment in oil exploration we have spent many years buying assets when the price is low he said the company has made new discoveries in egypt the gulf of mexico and angola however lord browne rejected calls for windfall tax on his company huge profits saying that in the north sea it paid progressively more tax the more profits it made lord browne believes oil prices will remain quite high currently above barrel he said the price of oil will be well supported above barrel for the medium term bp put production for the year at billion barrels of oil up on but slightly lower than the four billion barrels it had initially aimed for ,business,0
14,707,ireland argentina an injury time dropped goal by ronan gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday gara kicked all of ireland points with two dropped goals and five penalties to give the home side record in their autumn internationals an impressive argentina appeared in control until the dying seconds the pumas shocked the irish early on with try from federico aramburu and felipe contepomi kicked points the well drilled and sharper pumas out played and out thought ireland in the early stages indiscipline allowed argentina leinster fly half contepomi to open the scoring in the third minute with straightforward penalty he was on the mark again two minutes later when argentina shocked ragged ireland with the first try of the game ireland turned the ball over and manuel contepomi broke through an unstructured defence before feeding his midfield partner aramburu to sprint in under the posts gara finally got ireland on the board with dropped goal in the ninth minute only for contepomi to rifle over his second penalty two minutes later playing into strong wind and rain ireland continued to come second best in tight situations and turnovers began to mount up against rugged defence gara managed to land his second penalty in the th minute but once again contepomi replied in kind four minutes into first half injury time the second half started as the first had ended gara rifled over another penalty in the th minute but contepomi matched it three minutes later the upper body strength of the pumas never allowed ireland to take control up front while the three quarters had no space to manoeuvre ireland had to rely on gara boot to keep in touch rather than any contrived running plays the munsterman landed two more penalties one of them from metres to bring his team to within four points with minutes on the clock remaining and ireland chance came when argentina number eight gonzalo longo was yellow carded with six minutes to go for an offence in the line out gara made no mistake as he rifled over his fifth penalty to set up tense final few minutes but ireland showed great composure to get themselves into position to allow gara to thump over massive drop goal to complete tremendous if fortuitous comeback ,sport,3
15,1588,wenger signs new deal arsenal manager arsene wenger has signed new contract to stay at the club until may wenger has ended speculation about his future by agreeing long term contract that takes him beyond the opening of arsenal new stadium in two years he said signing new contract just rubber stamps my desire to take this club forward and fulfil my ambitions still have so much to achieve and my target is to drive this club on these are exciting times for arsenal the year old frenchman told arsenal website www arsenal com my intention has always been clear love this club and am very happy here wenger has won the title and the fa cup three times each during his reign chairman peter hill wood said we are absolutely delighted that arsene has signed an extension to his contract since his arrival in he has revolutionised the club both on and off the pitch as well as the six major honours he won during his time here arsene has been leading influence behind all the major initiatives at the club including the construction of our new training centre and also our new stadium the club has continued to reap the benefits of arsene natural eye for unearthing footballing talent we currently have fantastic crop of young players coming through the ranks together with number of world class players who are playing wonderful brand of football meanwhile arsenal director danny fiszman is looking for wenger to stay beyond when we come towards the end of his contract we will both review the situation m sure we will want him to stay on and hope he will too said fiszman ,sport,3
16,342,u desire to be number one who have won three prestigious grammy awards for their hit vertigo are stubbornly clinging to their status as one of the biggest bands in the world the most popular groups in the history of rock all have several things in common the music must be inspired and appeal across generations and be distinctive if not always groundbreaking but such success is down to more than music they have to be compelling performers charismatic and intelligent enough to make good decisions and keep their feet on the ground they also have to want it they have to want to be the biggest band ever and not stop wanting it the beatles had it the rolling stones still have it rem hold onto it and queen were it in catsuit and have it in spades and keep churning it out their new album how to dismantle an atomic bomb comes years after the schoolfriends got together in dublin and years after the joshua tree cemented their place on the all time rock list they may have lost some of the edginess and raw youthful force that propelled them to the top but they have lost none of the desire or ability to craft songs and albums vertigo the first single from the new album went straight into the uk singles chart at number one knocking eminem off the top spot and giving them their th top hit the challenge is to be bigger and bolder and better to make records the whole world will listen to bono recently said drummer larry mullen jr echoed those sentiments we re very competitive we want to be on the radio have big singles we don want to be thought of as veteran band the band have done everything in their considerable powers to ensure they remain the biggest band in the world according to magazine editor paul rees this makes them hugely determined and formidable he added they are equally determined to push themselves to make music that continues to stand up as such they ve constantly re invented and challenged themselves they are perhaps alone as the only rock band that has got better with age the other key ingredient was the fact they were highly organised mr rees said they do everything in the right way the group were born when mullen put an appeal for bandmates on high school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass david evans the edge guitar and his brother dick dick evans soon dropped out and the four piece were known as the feedback and the hype before settling on by they had won talent contest and got noticed by manager paul mcguinness they were brilliant but very coarse mcguinness recently said in way they were doing exactly what they do now only badly they struggled to attract record company attention later being described as pretty damn average and strange and eerie by scouts who saw them live they released two ireland only singles which topped the national charts in and leading to deal with island and their debut album boy the stadium filling anthemic sound was s aim from the start and their third album war saw them make the breakthrough on both sides of the atlantic going to number one in the uk and in the us songs like sunday bloody sunday and new year day brought success and an image as political and spiritual band which bono rejected as cliche his stage performances which included flag waving speaker climbing and drum throwing earned him reputation as an electric performer and their appearance at live aid is widely seen as sealing their global stardom in the joshua tree broke sales records and saw the band reach the height of their powers with hits including where the streets have no name still haven found what m looking for and with or without you those songs took the band epic atmospheric sound to simple powerful and popular pinnacle the end of the decade marked crucial point for the band they had reached the top but still yearned for new challenges and achievements these came in the form of explorations of different branches of rock and forays into electronic dance music plus wildly extravagant stage shows while still trying to retain their mass appeal the achtung baby album in was followed by zooropa pop and their corresponding stadium tours which featured giant olives flying cars live phone calls to the white house and bono transformation into alter egos the fly and macphisto he was also building parallel reputation not always to the pleasure of his bandmates as campaigner on issues from global debt to aids before the release of how to dismantle an atomic bomb they had sold million albums around the world but they still want more ,entertainment,4
17,486,hantuchova in dubai last eight daniela hantuchova moved into the quarter finals of the dubai open after beating elene likhotseva of russia and now faces serena williams australian open champion williams survived an early scare to beat russia elena bovina world number one lindsay davenport and anastasia myskina also progressed davenport defeated china jie zheng while french open champion myskina sailed through after her opponent marion bartoli retired hurt american davenport will now face fellow former wimbledon champion conchita martinez of spain who ousted seventh seeded nathalie dechy of france myskina will face eighth seed patty schnyder from switzerland who defeated china li na the other quarter final pits wild card sania mirza of india against jelena jankovic of serbia and montenegro who both won on tuesday before her meeting with martinez davenport believes there is some room for improvement in her game started well and finished well but played some so so games in the middle she said williams was also far from content don know what was doing there she said it was really windy and hadn played in the wind all my shots were going out of here but hantuchova is in upbeat mood ahead of her clash with the younger williams sister who was handed first round bye feel have an advantage over serena because have already played two matches on these courts she said it is difficult court to play on very fast and sometimes you feel you have no control over the ball ,sport,3
18,1344,melzer shocks agassi in san jose second seed andre agassi suffered comprehensive defeat by jurgen melzer in the quarter finals of the sap open agassi was often bamboozled by the austrian drop shots in san jose losing defending champion and top seed andy roddick rallied to beat sweden thomas enqvist but unseeded cyril saulnier beat the fourth seed vincent spadea and tommy haas overcame eighth seed max mirnyi melzer has now beaten agassi in two of their three meetings had good game plan and executed it perfectly he said it always tough to come out to play andre didn want him to play his game he makes you run like dog all over the court and agassi who was more than matched for power by his opponent two handed backhand said melzer was an example of several players on the tour willing to take their chances against him lot more guys are capable of it now said the american he played much better than me that what he did both times had opportunities to loosen myself up agassi added but didn convert on the big points ,sport,3
19,1552,moving mobile improves golf swing mobile phone that recognises and responds to movements has been launched in japan the motion sensitive phone officially titled the sh was developed by sharp and launched by vodafone japanese division devised mainly for mobile gaming users can also access other phone functions using pre set pattern of arm movements the phone will allow golf fans to improve their swing via golfing game those who prefer shoot em ups will be able to use the phone like gun to shoot the zombies in the mobile version of sega house of the dead the phone comes with tiny motion control sensor computer chip that responds to movement other features include display screen that allows users to watch tv and can rotate degrees it also doubles up as an electronic musical instrument users have to select sound from menu that includes clapping tambourine and maracas and shake their phone to create beat it is being recommended for the karaoke market the phone will initially be available in japan only and is due to go on sale in mid february the new gadget could make for interesting people watching among japanese commuters who are able to access their mobiles on the subway fishing afficiandos in south korea are already using phone that allows them to simulate the movement of rod the ph phone dubbed sports leisure gadget was developed by korean phone giant pantech and can also be used by runners to measure calorie consumption and distance run ,tech,1
20,1547,hewitt overcomes wobble in sydney lleyton hewitt gave himself the perfect preparation for next week australian open with victory over ivo minar in the final of the sydney international the defending champion brushed aside the czech qualifier the australian world number three strolled to the first five games of the match but was shocked as minar won the next five the top seed was rattled but recovered to close out the set and raced to victory in exactly an hour it was strange match momentum swings said hewitt felt like came out of the blocks extremely well but then he loosened up bit when he got back to had to try to settle down and take it up notch and was able to do that hewitt has now lifted the sydney title four times in the last six years it just keeps getting better and better every year hewitt said ve only played this tournament four times and ve won it four times hewitt went into the final as short priced favourite to clinch his th career title after dropping only one set all week he is set to meet frenchman arnaud clement in the first round of the australian open minar ranked th in the world was forced to pull out of the australian open qualifying draw to play in his first atp final for me this was big success said the year old was so nervous last night couldn sleep ve never played top player before wanted to play qualifying in melbourne but it saturday and m still here but this is main draw and need the points and the money alicia molik takes on samantha stosur in an all australian women final later on saturday ,sport,3
21,177,carry on star patsy rowlands dies actress patsy rowlands known to millions for her roles in the carry on films has died at the age of rowlands starred in nine of the popular carry on films alongside fellow regulars sid james kenneth williams and barbara windsor she also carved out successful television career appearing for many years in itv well loved comedy bless this house rowlands died in hove on saturday morning her agent said born in january rowlands won scholarship to the guildhall school of speech and drama scholarship when she was just after spending several years at the players theatre in london she made her film debut in in tom jones directed by tony richardson she made her first carry on film in where she appeared in carry on again doctor rowlands played the hard done by wife or the put upon employee as regular carry on star she also appeared in carry on at your convenience carry on matron and carry on loving as well as others in recent years she appeared in bbc mini series the cazalets and played mrs potts in the london stage version of beauty and the beast agent simon beresford said she was just an absolutely favourite client she never complained about anything particularly when she was ill she was an old trouper she was of the old school she had skills from musical theatre and high drama that is why she worked with the great and the good of directors she didn mind always being recognised for the carry on films because she thoroughly enjoyed making them she was really lovely person and she will be much missed her last appearance on stage was as mrs pearce in the award winning production of my fair lady at the national theatre previously married she leaves one son alan her funeral will be private family occasion with memorial service at later date ,entertainment,4
22,1785,serena becomes world number two serena williams has moved up five places to second in the world rankings after her australian open win williams won her first grand slam title since with victory over lindsay davenport the world number one men champion marat safin remains fourth in the atp rankings while beaten finalist lleyton hewitt replaces andy roddick as world number two roger federer retains top spot but safin has overtaken hewitt to become the new leader of the champions race alicia molik who lost three set thriller against davenport in the quarter finals is in the women top for the first time in her career her rise means australia have player in the top of the men and women rankings for the first time in years and britain elena baltacha who qualified and then reached the third round has risen to in the world leap of places and her highest ranking yet ,sport,3
23,1617,ferguson urges henry punishment sir alex ferguson has called on the football association to punish arsenal thierry henry for an incident involving gabriel heinze ferguson believes henry deliberately caught heinze on the head with his knee during united controversial win the united boss said it was worse than ruud van nistelrooy foul on ashley cole for which he got three game ban we shall present it to the fa and see what they do the tackle on heinze was terrible he said clubs are permitted to ask the fa to examine specific incidents but information is expected to be provided within hours of the game the clash occurred moments before half time when freddie ljungberg challenge left heinze on the ground on the left touchline henry following the ball attempted to hurdle the argentine but his knee collided with the back of heinze head the striker protested his innocence and referee mike riley deemed the collision accidental ferguson was also upset by arsenal overall discipline during the heated encounter between the two arch rivals and praised his own side behaviour edu produced terrible tackle on scholes that was potential leg breaker he said there were fouls in the game by arsenal seven on heinze five on ronaldo six by vieira and it was only his sixth foul that got him booked phil neville got booked for his first challenge am proud of my players for the way they handled that pressure we have always been good at being gracious in defeat what happened on sunday overshadowed our achievement but then they do it all the time don they,sport,3
